"Feature id","Feature description","Module implementing the feature"
"f01","load Java Class definition to use in JavaScript","org.mozilla.javascript.ScriptableObject.findSetterMethod(java.lang.reflect.Method[],java.lang.String,java.lang.String)"
"f01","load Java Class definition to use in JavaScript","org.mozilla.javascript.ScriptableObject.findAnnotatedMember(java.lang.reflect.AccessibleObject[],java.lang.Class)"
"f01","load Java Class definition to use in JavaScript","org.mozilla.javascript.ScriptableObject.defineClass(org.mozilla.javascript.Scriptable,java.lang.Class)"
"f01","load Java Class definition to use in JavaScript","org.mozilla.javascript.FunctionObject.initAsConstructor(org.mozilla.javascript.Scriptable,org.mozilla.javascript.Scriptable)"
"f01","load Java Class definition to use in JavaScript","org.mozilla.javascript.FunctionObject.createObject(org.mozilla.javascript.Context,org.mozilla.javascript.Scriptable)"
"f01","load Java Class definition to use in JavaScript","org.mozilla.javascript.ScriptableObject.buildClassCtor(org.mozilla.javascript.Scriptable,java.lang.Class,boolean,boolean)"
"f01","load Java Class definition to use in JavaScript","org.mozilla.javascript.ScriptableObject.getPropertyName(java.lang.String,java.lang.String,java.lang.annotation.Annotation)"
"f01","load Java Class definition to use in JavaScript","org.mozilla.javascript.FunctionObject.isVarArgsMethod()"
"f01","load Java Class definition to use in JavaScript","org.mozilla.javascript.FunctionObject.isVarArgsConstructor()"
"f01","load Java Class definition to use in JavaScript","org.mozilla.javascript.FunctionObject.getMethodList(java.lang.Class)"
"f01","load Java Class definition to use in JavaScript","org.mozilla.javascript.ast.NewExpression.NewExpression(int)"
"f01","load Java Class definition to use in JavaScript","org.mozilla.javascript.ScriptRuntime.newObject(java.lang.Object,org.mozilla.javascript.Context,org.mozilla.javascript.Scriptable,java.lang.Object[])"
"f02","load Java Class instance to use in JavaScript","org.mozilla.javascript.NativeJavaMethod.call(org.mozilla.javascript.Context,org.mozilla.javascript.Scriptable,org.mozilla.javascript.Scriptable,java.lang.Object[])"
"f02","load Java Class instance to use in JavaScript","org.mozilla.javascript.NativeJavaMethod.NativeJavaMethod(org.mozilla.javascript.MemberBox[],java.lang.String)"
"f02","load Java Class instance to use in JavaScript","org.mozilla.javascript.NativeJavaMethod.NativeJavaMethod(org.mozilla.javascript.MemberBox[])"
"f02","load Java Class instance to use in JavaScript","org.mozilla.javascript.JavaMembers$MethodSignature.MethodSignature(java.lang.reflect.Method)"
"f02","load Java Class instance to use in JavaScript","org.mozilla.javascript.NativeJavaObject.getDefaultValue(java.lang.Class)"
"f03","use JavaScript Function","org.mozilla.javascript.InterpretedFunction.createFunction(org.mozilla.javascript.Context,org.mozilla.javascript.Scriptable,org.mozilla.javascript.InterpreterData,java.lang.Object)"
"f03","use JavaScript Function","org.mozilla.javascript.BaseFunction.execIdCall(org.mozilla.javascript.IdFunctionObject,org.mozilla.javascript.Context,org.mozilla.javascript.Scriptable,org.mozilla.javascript.Scriptable,java.lang.Object[])"
"f03","use JavaScript Function","org.mozilla.javascript.ScriptRuntime.getElemFunctionAndThis(java.lang.Object,java.lang.Object,org.mozilla.javascript.Context,org.mozilla.javascript.Scriptable)"
"f03","use JavaScript Function","org.mozilla.javascript.ScriptRuntime.nameOrFunction(org.mozilla.javascript.Context,org.mozilla.javascript.Scriptable,org.mozilla.javascript.Scriptable,java.lang.String,boolean)"
"f03","use JavaScript Function","org.mozilla.javascript.BaseFunction.setupDefaultPrototype()"
"f03","use JavaScript Function","org.mozilla.javascript.BaseFunction.createObject(org.mozilla.javascript.Context,org.mozilla.javascript.Scriptable)"
"f03","use JavaScript Function","org.mozilla.javascript.optimizer.Optimizer.convertParameter(org.mozilla.javascript.Node)"
"f03","use JavaScript Function","org.mozilla.javascript.FunctionObject.call(org.mozilla.javascript.Context,org.mozilla.javascript.Scriptable,org.mozilla.javascript.Scriptable,java.lang.Object[])"
"f03","use JavaScript Function","org.mozilla.javascript.FunctionObject.FunctionObject(java.lang.String,java.lang.reflect.Member,org.mozilla.javascript.Scriptable)"
"f03","use JavaScript Function","org.mozilla.javascript.CodeGenerator.generateFunctionICode()"
"f03","use JavaScript Function","org.mozilla.javascript.optimizer.OptRuntime.initFunction(org.mozilla.javascript.NativeFunction,int,org.mozilla.javascript.Scriptable,org.mozilla.javascript.Context)"
"f03","use JavaScript Function","org.mozilla.javascript.optimizer.OptFunctionNode.get(org.mozilla.javascript.ast.ScriptNode,int)"
"f03","use JavaScript Function","org.mozilla.javascript.optimizer.OptFunctionNode.OptFunctionNode(org.mozilla.javascript.ast.FunctionNode)"
"f03","use JavaScript Function","org.mozilla.javascript.optimizer.Codegen.generateFunctionInit(org.mozilla.classfile.ClassFileWriter,org.mozilla.javascript.optimizer.OptFunctionNode)"
"f03","use JavaScript Function","org.mozilla.javascript.optimizer.Codegen.generateFunctionConstructor(org.mozilla.classfile.ClassFileWriter)"
"f03","use JavaScript Function","org.mozilla.javascript.optimizer.BodyCodegen.visitFunction(org.mozilla.javascript.optimizer.OptFunctionNode,int)"
"f03","use JavaScript Function","org.mozilla.javascript.Parser$PerFunctionVariables.PerFunctionVariables(org.mozilla.javascript.Parser,org.mozilla.javascript.ast.FunctionNode)"
"f03","use JavaScript Function","org.mozilla.javascript.NativeFunction.initScriptFunction(org.mozilla.javascript.Context,org.mozilla.javascript.Scriptable)"
"f03","use JavaScript Function","org.mozilla.javascript.IRFactory.transformFunction(org.mozilla.javascript.ast.FunctionNode)"
"f03","use JavaScript Function","org.mozilla.javascript.ast.FunctionNode.FunctionNode(int,org.mozilla.javascript.ast.Name)"
"f03","use JavaScript Function","org.mozilla.javascript.Parser.parseFunctionParams(org.mozilla.javascript.ast.FunctionNode)"
"f03","use JavaScript Function","org.mozilla.javascript.Parser.parseFunctionBody()"
"f03","use JavaScript Function","org.mozilla.javascript.ScriptRuntime.setFunctionProtoAndParent(org.mozilla.javascript.BaseFunction,org.mozilla.javascript.Scriptable)"
"f03","use JavaScript Function","org.mozilla.javascript.ast.FunctionCall.setArguments(java.util.List)"
"f03","use JavaScript Function","org.mozilla.javascript.IRFactory.transformFunctionCall(org.mozilla.javascript.ast.FunctionCall)"
"f03","use JavaScript Function","org.mozilla.javascript.optimizer.OptTransformer.detectDirectCall(org.mozilla.javascript.Node,org.mozilla.javascript.ast.ScriptNode)"
"f03","use JavaScript Function","org.mozilla.javascript.ast.FunctionCall.getArguments()"
"f03","use JavaScript Function","org.mozilla.javascript.ast.FunctionCall.FunctionCall(int)"
"f03","use JavaScript Function","org.mozilla.javascript.BaseFunction.isApply(org.mozilla.javascript.IdFunctionObject)"
"f03","use JavaScript Function","org.mozilla.javascript.ast.FunctionNode.addFunction(org.mozilla.javascript.ast.FunctionNode)"
"f03","use JavaScript Function","org.mozilla.javascript.InterpretedFunction.getParamCount()"
"f03","use JavaScript Function","org.mozilla.javascript.InterpretedFunction.getLanguageVersion()"
"f03","use JavaScript Function","org.mozilla.javascript.BaseFunction.isApplyOrCall(org.mozilla.javascript.IdFunctionObject)"
"f03","use JavaScript Function","org.mozilla.javascript.ast.FunctionCall.addArgument(org.mozilla.javascript.ast.AstNode)"
"f03","use JavaScript Function","org.mozilla.javascript.ast.FunctionCall.setRp(int)"
"f03","use JavaScript Function","org.mozilla.javascript.ast.FunctionCall.setLp(int)"
"f03","use JavaScript Function","org.mozilla.javascript.ast.FunctionCall.setTarget(org.mozilla.javascript.ast.AstNode)"
"f03","use JavaScript Function","org.mozilla.javascript.ast.FunctionCall.getTarget()"
"f04","use JavaScript Array","org.mozilla.javascript.NativeArray.setInstanceIdValue(int,java.lang.Object)"
"f04","use JavaScript Array","org.mozilla.javascript.NativeArray.execIdCall(org.mozilla.javascript.IdFunctionObject,org.mozilla.javascript.Context,org.mozilla.javascript.Scriptable,org.mozilla.javascript.Scriptable,java.lang.Object[])"
"f04","use JavaScript Array","org.mozilla.javascript.Context.newArray(org.mozilla.javascript.Scriptable,java.lang.Object[])"
"f04","use JavaScript Array","org.mozilla.javascript.optimizer.OptRuntime.newArrayLiteral(java.lang.Object[],java.lang.String,int,org.mozilla.javascript.Context,org.mozilla.javascript.Scriptable)"
"f04","use JavaScript Array","org.mozilla.javascript.optimizer.BodyCodegen.visitArrayLiteral(org.mozilla.javascript.Node,org.mozilla.javascript.Node,boolean)"
"f04","use JavaScript Array","org.mozilla.javascript.Parser.arrayLiteral()"
"f04","use JavaScript Array","org.mozilla.javascript.NativeArray.put(java.lang.String,org.mozilla.javascript.Scriptable,java.lang.Object)"
"f04","use JavaScript Array","org.mozilla.javascript.NativeArray.put(int,org.mozilla.javascript.Scriptable,java.lang.Object)"
"f04","use JavaScript Array","org.mozilla.javascript.NativeArray.get(int,org.mozilla.javascript.Scriptable)"
"f04","use JavaScript Array","org.mozilla.javascript.IRFactory.transformArrayLiteral(org.mozilla.javascript.ast.ArrayLiteral)"
"f04","use JavaScript Array","org.mozilla.javascript.optimizer.BodyCodegen.addNewObjectArray(int)"
"f04","use JavaScript Array","org.mozilla.javascript.NativeArray.getMaxInstanceId()"
"f04","use JavaScript Array","org.mozilla.javascript.NativeArray.getInstanceIdName(int)"
"f04","use JavaScript Array","org.mozilla.javascript.NativeArray.getIds()"
"f04","use JavaScript Array","org.mozilla.javascript.NativeArray.delete(int)"
"f04","use JavaScript Array","org.mozilla.javascript.ast.ArrayLiteral.addElement(org.mozilla.javascript.ast.AstNode)"
"f04","use JavaScript Array","org.mozilla.javascript.NativeArray.getDefaultValue(java.lang.Class)"
"f04","use JavaScript Array","org.mozilla.javascript.NativeArray.has(int,org.mozilla.javascript.Scriptable)"
"f04","use JavaScript Array","org.mozilla.javascript.NativeArray.findInstanceIdInfo(java.lang.String)"
"f04","use JavaScript Array","org.mozilla.javascript.NativeArray.setMaximumInitialCapacity(int)"
"f05","use JavaScript String","org.mozilla.javascript.NativeString.findInstanceIdInfo(java.lang.String)"
"f05","use JavaScript String","org.mozilla.javascript.IRFactory.transformString(org.mozilla.javascript.ast.StringLiteral)"
"f06","use typeOf in JavaScript","org.mozilla.javascript.regexp.NativeRegExp.getTypeOf()"
"f06","use typeOf in JavaScript","org.mozilla.javascript.BaseFunction.getTypeOf()"
"f06","use typeOf in JavaScript","org.mozilla.javascript.optimizer.BodyCodegen.visitTypeofname(org.mozilla.javascript.Node)"
"f06","use typeOf in JavaScript","org.mozilla.javascript.ScriptRuntime.typeofName(org.mozilla.javascript.Scriptable,java.lang.String)"
"f06","use typeOf in JavaScript","org.mozilla.javascript.ScriptRuntime.typeof(java.lang.Object)"
"f07","use control structure (for) in JavaScript","org.mozilla.javascript.ast.Loop.Loop(int)"
"f07","use control structure (for) in JavaScript","org.mozilla.javascript.Parser.forLoop()"
"f07","use control structure (for) in JavaScript","org.mozilla.javascript.IRFactory.transformForInLoop(org.mozilla.javascript.ast.ForInLoop)"
"f07","use control structure (for) in JavaScript","org.mozilla.javascript.CodeGenerator.addBackwardGoto(int,int)"
"f07","use control structure (for) in JavaScript","org.mozilla.javascript.optimizer.BodyCodegen.addGoto(org.mozilla.javascript.Node,int)"
"f08","use control structure (throw) or (if) in JavaScript","org.mozilla.javascript.optimizer.BodyCodegen.visitIfJumpEqOp(org.mozilla.javascript.Node,org.mozilla.javascript.Node,int,int)"
"f08","use control structure (throw) or (if) in JavaScript","org.mozilla.javascript.optimizer.BodyCodegen.generateThrowJavaScriptException()"
"f08","use control structure (throw) or (if) in JavaScript","org.mozilla.javascript.Parser.throwStatement()"
"f08","use control structure (throw) or (if) in JavaScript","org.mozilla.javascript.Parser.ifStatement()"
"f08","use control structure (throw) or (if) in JavaScript","org.mozilla.javascript.IRFactory.transformThrow(org.mozilla.javascript.ast.ThrowStatement)"
"f08","use control structure (throw) or (if) in JavaScript","org.mozilla.javascript.IRFactory.transformIf(org.mozilla.javascript.ast.IfStatement)"
"f08","use control structure (throw) or (if) in JavaScript","org.mozilla.javascript.optimizer.BodyCodegen.visitGoto(org.mozilla.javascript.ast.Jump,int,org.mozilla.javascript.Node)"
"f08","use control structure (throw) or (if) in JavaScript","org.mozilla.javascript.ast.Jump.Jump(int,org.mozilla.javascript.Node)"
"f09","use RegExp in JavaScript","org.mozilla.javascript.regexp.RegExpImpl.wrapRegExp(org.mozilla.javascript.Context,org.mozilla.javascript.Scriptable,java.lang.Object)"
"f09","use RegExp in JavaScript","org.mozilla.javascript.regexp.RegExpImpl.compileRegExp(org.mozilla.javascript.Context,java.lang.String,java.lang.String)"
"f09","use RegExp in JavaScript","org.mozilla.javascript.regexp.NativeRegExpCtor.construct(org.mozilla.javascript.Context,org.mozilla.javascript.Scriptable,java.lang.Object[])"
"f09","use RegExp in JavaScript","org.mozilla.javascript.regexp.NativeRegExp.init(org.mozilla.javascript.Context,org.mozilla.javascript.Scriptable,boolean)"
"f09","use RegExp in JavaScript","org.mozilla.javascript.ast.RegExpLiteral.RegExpLiteral(int,int)"
"f09","use RegExp in JavaScript","org.mozilla.javascript.TokenStream.readRegExp(int)"
"f09","use RegExp in JavaScript","org.mozilla.javascript.TokenStream.readAndClearRegExpFlags()"
"f09","use RegExp in JavaScript","org.mozilla.javascript.ScriptRuntime.wrapRegExp(org.mozilla.javascript.Context,org.mozilla.javascript.Scriptable,java.lang.Object)"
"f09","use RegExp in JavaScript","org.mozilla.javascript.IRFactory.transformRegExp(org.mozilla.javascript.ast.RegExpLiteral)"
